,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
398,402,6037123020,3432,Los Angeles,91352,Sun Valley,-118.3664946,34.2047368,1064.22,70.35,62.13,7.65,93.94,65.77,74.83,43.8,65.24,41.73703257,1249.0,2.2846803380000003,5.931004821,48092.0,4.48
401,406,6037535604,4435,Los Angeles,90280,South Gate,-118.22410359999998,33.9506731,1132.18,72.95,59.06,7.27,90.19,46.23,51.3,67.2,90.95,54.90981964,994.0,2.032064128,9.132651366000001,40119.0,4.33
403,408,6037533105,2580,Los Angeles,90255,Huntington Park,-118.216407,33.982881899999995,924.39,63.83,51.52,6.35,76.19,59.19,68.18,82.8,99.02,94.58204334,1008.0,1.306501548,13.69511022,27417.0,3.95
405,410,6037120020,4057,Los Angeles,91402,Panorama City,-118.45485159999998,34.2188235,1384.37,80.35,54.82,6.75,83.37,81.11,85.82,69.7,92.76,84.68468468,1034.0,1.483783784,8.356355816,31157.0,4.02
410,415,6037533805,3604,Los Angeles,90201,Bell,-118.1751358,33.974423200000004,1463.7,82.05,56.76,6.99,86.56,48.15,53.9,61.0,85.25,61.42365098,1170.0,1.972445465,8.157411213,47821.0,4.2
413,418,6037534803,4930,Los Angeles,90255,Huntington Park,-118.2254355,33.9692765,940.34,64.57,54.32,6.69,82.44,52.82,59.96,59.7,84.06,58.31087152,1009.0,1.6648697209999999,7.375233172000001,27019.0,3.76
415,420,6037532606,4284,Los Angeles,90255,Huntington Park,-118.2208725,33.983206200000005,895.63,62.48,52.23,6.43,77.82,59.19,68.18,77.1,97.4,84.68253968,889.0,1.428571429,18.29011742,28102.0,3.7
416,421,6037533601,4484,Los Angeles,90201,Bell,-118.1942193,33.9804922,941.91,64.64,61.58,7.59,93.33,43.01,46.24,68.1,91.67,85.53113553,1115.0,1.716117216,8.070725251,36782.0,4.33
424,430,6037533103,3577,Los Angeles,90255,Huntington Park,-118.23129099999998,33.9771202,963.91,65.77,53.82,6.63,81.42,59.19,68.18,74.5,95.9,87.85046729,889.0,1.35864486,10.00180294,28654.0,4.09
425,431,6037432802,5821,Los Angeles,91731,El Monte,-118.0533005,34.0788602,2198.83,92.73,62.47,7.69,94.26,42.62,45.9,70.6,93.48,86.51292802,1043.0,1.523410203,9.785800312000001,28609.0,3.56
427,433,6037191000,3228,Los Angeles,90028,Los Angeles,-118.321677,34.1009548,2554.29,95.36,59.19,7.29,90.42,75.54,82.43,51.4,74.85,87.88321168,1182.0,1.135279805,12.81967521,39760.0,1.95
429,435,6037226700,6170,Los Angeles,90011,Los Angeles,-118.2621294,34.0173502,714.75,51.21,54.6,6.73,82.97,63.52,73.07,78.2,97.69,79.19075145,1056.0,1.25867052,7.155570122,32034.0,4.9
432,438,6037226410,3491,Los Angeles,90011,Los Angeles,-118.2622815,34.0241996,971.12,66.25,56.64,6.98,86.21,63.52,73.07,75.9,96.79,88.26945412,957.0,1.133565621,12.33472017,36225.0,4.22
433,439,6037226420,4906,Los Angeles,90011,Los Angeles,-118.2570623,34.0218419,920.81,63.57,55.39,6.82,84.37,63.52,73.07,72.9,94.9,86.25,925.0,1.278125,12.13281542,28980.0,4.22
434,440,6037533202,2762,Los Angeles,90255,Huntington Park,-118.2097713,33.9784203,991.6,67.28,58.66,7.22,89.65,52.49,59.51,49.1,72.13,63.17460317,1221.0,2.034920635,7.727795808,50521.0,4.15
438,444,6037240600,4932,Los Angeles,90003,Los Angeles,-118.26840590000002,33.946945,839.59,59.51,49.25,6.07,70.62,89.86,89.2,67.9,91.57,65.08313539,1202.0,1.7379255740000001,7.56246096,34240.0,4.5
439,445,6037123303,3301,Los Angeles,91605,North Hollywood,-118.4116037,34.1972751,1645.29,85.81,59.8,7.37,91.25,57.91,66.44,55.2,79.23,69.53290870000001,1214.0,1.649681529,6.018504201,34457.0,3.32
445,451,6037241400,3285,Los Angeles,90061,Los Angeles,-118.27556090000002,33.92558,4008.29,99.42,49.5,6.1,71.25,104.45,93.52,75.9,96.79,69.65909091,1077.0,1.456818182,6.18747637,29038.0,3.83
446,452,6071001503,4195,San Bernardino,91764,Ontario,-117.6324246,34.0667083,755.39,54.04,56.69,6.98,86.35,61.68,70.83,73.8,95.55,75.05399568,1162.0,1.7570194380000002,6.766424649,39464.0,4.25
447,453,6037603302,3804,Los Angeles,90247,Gardena,-118.3073078,33.874934700000004,881.38,61.71,60.25,7.42,91.96,66.5,75.5,48.1,70.94,48.07436919,1297.0,1.770252324,5.419674015,43938.0,2.73
448,454,6037127605,3549,Los Angeles,91406,Van Nuys,-118.4847378,34.189727000000005,1554.01,84.1,58.72,7.23,89.77,74.19,81.54,62.3,86.49,88.99082569,1250.0,1.579816514,6.839764357000001,36977.0,3.82
450,456,6037433902,3780,Los Angeles,91732,El Monte,-118.0268687,34.0525708,832.25,59.08,67.42,8.3,97.64,49.82,55.85,55.9,80.01,42.76243094,1205.0,1.871823204,5.008842743,43013.0,3.82
451,457,6037553602,4730,Los Angeles,90723,Paramount,-118.16442859999998,33.9089742,1542.92,83.79,59.15,7.29,90.34,57.83,66.24,55.1,79.11,64.5379414,1466.0,1.9120961680000002,8.925374428,61310.0,3.86
452,458,6037218400,4714,Los Angeles,90016,Los Angeles,-118.3592342,34.0369278,3633.14,98.88,66.47,8.19,97.09,75.33,82.23,59.0,83.38,71.89265537,1196.0,1.5317796609999998,8.726441662000001,36667.0,3.21
454,460,6037228600,5049,Los Angeles,90011,Los Angeles,-118.2608661,34.0036935,968.03,66.01,52.51,6.47,78.49,63.52,73.07,84.1,99.21,83.44308561,981.0,1.2935089370000001,8.163409989,33594.0,4.69
455,461,6037570602,6356,Los Angeles,90805,Long Beach,-118.1729332,33.8561559,622.83,43.79,56.41,6.95,85.85,87.58,88.38,45.5,67.66,54.07488987,1191.0,2.054515419,7.049512429,53714.0,3.67
458,464,6037531902,4077,Los Angeles,90022,Los Angeles,-118.1324571,34.0117799,640.12,45.33,55.75,6.87,84.89,59.16,67.98,49.8,72.96,54.11985019,1094.0,1.70411985,6.105563927,47604.0,3.66
459,465,6037232700,5895,Los Angeles,90037,Los Angeles,-118.2858532,33.99234620000001,4117.61,99.54,52.15,6.42,77.52,85.58,87.66,74.0,95.65,70.13487476,1076.0,1.438021837,8.617258377,28125.0,3.81
461,467,6037531702,4754,Los Angeles,90022,Los Angeles,-118.1597749,34.0158731,1993.72,90.9,57.07,7.03,86.99,62.41,71.81,61.2,85.47,76.01532567,997.0,1.567816092,7.856968683,37166.0,3.63
467,473,6037185203,3200,Los Angeles,90065,Los Angeles,-118.2316884,34.1001272,713.11,51.11,57.49,7.08,87.67,69.42,78.29,59.1,83.46,63.53829558,1034.0,1.700107875,6.845646555,36738.0,3.61
470,476,6037239802,4902,Los Angeles,90001,Los Angeles,-118.2629489,33.962408,1077.4,70.86,54.27,6.68,82.34,72.31,80.2,75.6,96.59,67.71714066,1118.0,1.4888547269999999,8.638969837000001,37639.0,3.92
471,477,6037228210,3806,Los Angeles,90011,Los Angeles,-118.2534818,34.010412,619.47,43.56,54.84,6.75,83.39,63.52,73.07,72.6,94.7,74.749499,1022.0,1.398797595,9.825923394,30417.0,3.97
473,479,6037575402,4065,Los Angeles,90813,Long Beach,-118.1915438,33.7862264,808.09,57.31,49.85,6.14,72.18,91.22,89.74,71.0,93.73,86.48111332,974.0,1.357852883,12.57282576,37833.0,4.2
474,480,6037231710,4358,Los Angeles,90037,Los Angeles,-118.2893576,34.0073136,1203.65,75.29,48.44,5.97,68.15,92.32,90.18,86.4,99.51,84.99142367,977.0,0.963121784,14.57338009,19492.0,3.48
476,482,6037405102,5069,Los Angeles,91706,Baldwin Park,-117.9626794,34.0892124,461.13,26.82,57.21,7.05,87.18,62.29,71.62,50.3,73.53,45.6937799,1271.0,1.8843700159999999,5.270742537,40661.0,3.52
477,483,6037203600,5394,Los Angeles,90033,Los Angeles,-118.2095139,34.051339500000005,3780.59,99.19,57.27,7.05,87.28,96.21,91.7,62.4,86.55,76.33181126,1031.0,1.4429223740000001,9.608887478,32232.0,3.98
