,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
3008,3053,6037128801,3307,Los Angeles,91411,Van Nuys,-118.4651573,34.1682378,2880.76,96.93,53.9,6.64,81.58,34.43,32.35,24.7,35.76,73.90350877,1317.0,1.340460526,14.99931421,57181.0,1.79
3017,3062,6037125402,3544,Los Angeles,91602,North Hollywood,-118.3740062,34.156682700000005,2232.14,92.97,54.15,6.67,82.08,39.17,40.62,24.7,35.76,74.00199601,1524.0,1.562874251,11.64725359,70000.0,2.11
3028,3074,6037267501,5379,Los Angeles,90025,Los Angeles,-118.4560691,34.041335499999995,1521.54,83.34,63.46,7.82,94.97,19.33,7.28,45.7,67.97,84.49905482,1563.0,1.407183365,23.58472662,66979.0,2.56
3031,3077,6037207501,2218,Los Angeles,90012,Los Angeles,-118.2529675,34.0564422,1366.44,79.9,66.38,8.18,97.03,29.02,23.46,22.8,31.98,80.68820225,1752.0,1.127106742,42.90077528,63617.0,1.59
3047,3093,6037125401,4024,Los Angeles,91601,North Hollywood,-118.3743046,34.1626066,789.09,56.06,54.2,6.68,82.23,57.11,65.65,30.3,45.37,92.38493724,1390.0,1.273221757,24.31476906,55653.0,1.82
3056,3102,6073002402,5254,San Diego,92105,San Diego,-117.1052315,32.7468137,1622.58,85.26,31.22,3.85,22.51,80.83,85.55,73.9,95.6,90.94462541,986.0,1.4944625409999999,12.35298696,30042.0,3.32
3061,3107,6037189904,2260,Los Angeles,90046,Los Angeles,-118.3467929,34.0997191,1610.15,85.04,48.11,5.93,67.14,27.82,21.13,40.6,60.4,99.54574951,1457.0,1.166774822,39.07354152,41427.0,1.62
3065,3111,6037269800,3458,Los Angeles,90034,Los Angeles,-118.3968111,34.032045000000004,3049.47,97.57,50.17,6.18,73.14,37.85,38.2,34.3,51.23,81.28474367,1487.0,1.497220506,14.02702839,54238.0,2.0
3078,3124,6081612100,7041,San Mateo,94303,Palo Alto,-122.1439038,37.459103000000006,2625.93,95.8,43.1,5.31,53.28,42.22,45.37,55.9,80.01,84.25655977,1392.0,1.49016035,11.33460429,53693.0,3.2
3081,3127,6001424002,2172,Alameda ,94702,Berkeley,-122.2815989,37.8504976,551.54,36.47,44.04,5.42,56.08,85.49,87.62,37.1,55.31,55.32359081,1211.0,1.542797495,11.8480838,58643.0,2.55
3086,3132,6073010402,5558,San Diego,91932,Imperial Beach,-117.1057746,32.572779600000004,806.3,57.16,35.89,4.42,34.28,65.97,74.94,56.8,81.09,81.30296609999999,1159.0,1.75529661,11.27945425,42383.0,3.2
3092,3138,6001405700,3243,Alameda ,94606,Oakland,-122.2296737,37.79823070000001,1284.52,77.83,37.04,4.56,37.26,52.69,59.89,51.6,75.21,75.94752187,1044.0,1.4220116619999998,10.15304755,48851.0,2.68
3096,3142,6073005400,7435,San Diego,92101,San Diego,-117.1666546,32.7119409,306.71,12.72,53.4,6.58,80.57,78.37,83.67,17.0,20.39,58.59030837,1664.0,1.200545416,12.48815805,86870.0,1.52
3109,3155,6037271801,3635,Los Angeles,90034,Los Angeles,-118.4182534,34.0167232,3408.01,98.5,46.48,5.73,62.7,31.43,27.65,37.8,56.54,81.13095238,1458.0,1.506547619,14.16614427,59091.0,2.06
3115,3161,6085500902,4523,Santa Clara,95112,San Jose,-121.8796401,37.3330035,485.84,29.26,35.63,4.39,33.64,61.75,70.94,76.4,97.2,97.37704918,1225.0,1.531147541,10.17881359,30682.0,2.85
3136,3183,6085501101,4074,Santa Clara,95112,San Jose,-121.8919669,37.3480957,336.03,15.01,42.48,5.23,51.52,61.75,70.94,34.4,51.44,82.35596708,1468.0,1.4248971190000002,11.97637491,71852.0,2.25
3140,3187,6037217002,4977,Los Angeles,90035,Los Angeles,-118.3804933,34.0495333,1804.08,88.42,55.92,6.89,85.1,31.8,28.43,36.0,53.93,75.8994365,1527.0,1.479843953,12.10377302,71208.0,2.19
3152,3199,6001405402,3114,Alameda ,94606,Oakland,-122.2461006,37.7933319,280.89,10.57,33.48,4.12,27.74,97.0,92.01,67.6,91.33,88.65800866,1138.0,1.285714286,16.37923665,33555.0,2.74
3158,3205,6037269906,2878,Los Angeles,90034,Los Angeles,-118.4031746,34.0249593,983.29,66.91,46.05,5.67,61.49,39.79,41.64,27.9,41.27,91.87418087,1565.0,1.421363041,29.69082009,70952.0,1.97
3166,3214,6001403400,4146,Alameda ,94612,Oakland,-122.2616693,37.8047578,430.14,23.8,45.05,5.55,58.79,122.15,96.76,35.7,53.53,89.94901675,1135.0,0.722505462,16.68593854,51172.0,1.58
3195,3243,6037265510,4234,Los Angeles,90024,Los Angeles,-118.4426278,34.0564831,2434.71,94.47,52.27,6.44,77.88,13.51,2.26,45.0,66.96,88.89369058,1930.0,1.085998271,24.42039549,42356.0,1.87
3196,3244,6037106408,3463,Los Angeles,91342,Sylmar,-118.4400777,34.31326129999999,1166.39,74.14,35.95,4.43,34.45,64.44,73.93,64.1,88.27,81.58730159,1213.0,1.687830688,16.69308329,41806.0,3.84
3210,3258,6037214902,2586,Los Angeles,90048,Los Angeles,-118.38009270000002,34.072959600000004,1073.93,70.67,58.37,7.19,89.09,34.59,32.75,17.8,22.07,84.32698218,2058.0,1.290104487,12.99167444,75250.0,1.79
3217,3265,6037212101,2507,Los Angeles,90020,Los Angeles,-118.2941415,34.0635956,1436.51,81.56,50.97,6.28,74.88,28.84,23.15,48.3,71.3,92.48895434,1355.0,1.15095729,29.58143775,43182.0,2.22
3242,3290,6037211121,2351,Los Angeles,90004,Los Angeles,-118.2854106,34.073010100000005,1791.18,88.31,54.67,6.73,83.09,32.95,30.0,42.3,62.95,94.75484607,1295.0,1.4310148230000002,16.59069732,45372.0,2.58
3251,3299,6037216402,2615,Los Angeles,90035,Los Angeles,-118.3804364,34.0611535,1474.75,82.34,49.55,6.1,71.44,19.73,7.84,31.9,47.86,88.84968243,1765.0,1.499647142,24.9927189,71534.0,2.1
3264,3313,6073005900,2821,San Diego,92101,San Diego,-117.1642671,32.7293426,1010.49,68.12,50.35,6.2,73.58,60.73,69.84,22.6,31.6,79.08294693,1223.0,1.19062339,18.73610097,60120.0,1.6
3287,3336,6081600800,6768,San Mateo,94015,Daly City,-122.4802873,37.7001002,1148.63,73.51,35.17,4.33,32.53,56.11,64.34,40.2,59.97,94.96323529,1795.0,1.107352941,19.16164849,51111.0,2.71
