,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl
703,6059001202,3586,Orange ,90631,La Habra,-117.9434406,33.9331436,852.94,60.25,57.41,7.07,87.55,53.99,61.61,48.2,71.16
704,6077000402,4582,San Joaquin,95202,Stockton,-121.29013859999999,37.96403529999999,445.93,25.49,50.36,6.2,73.63,170.36,99.38,73.0,95.02
705,6037534501,5201,Los Angeles,90255,Huntington Park,-118.20766200000001,33.9677268,883.21,61.8,49.81,6.14,72.1,59.19,68.18,62.7,86.9
706,6067004501,3529,Sacramento ,95824,Sacramento,-121.47117340000001,38.5180285,1373.66,80.17,45.73,5.63,60.55,107.64,94.19,73.0,95.02
707,6037540203,5594,Los Angeles,90262,Lynwood,-118.20438909999999,33.9275094,2361.42,94.01,49.41,6.09,70.96,56.52,64.71,70.2,93.12
708,6059074003,3137,Orange ,92707,Santa Ana,-117.86253810000001,33.7086987,2479.11,94.77,66.69,8.21,97.21,43.21,46.57,39.9,59.57
709,6037533403,2973,Los Angeles,90270,Maywood,-118.1871993,33.9879399,1270.19,77.3,58.37,7.19,89.1,39.47,41.0,62.6,86.79
710,6037199400,4668,Los Angeles,90031,Los Angeles,-118.2093313,34.0896162,1604.02,84.96,60.08,7.4,91.71,39.66,41.28,64.6,88.75
711,6037433200,6163,Los Angeles,91731,El Monte,-118.0367895,34.0678011,1571.59,84.4,66.83,8.23,97.3,40.59,42.86,57.5,81.81
712,6037542900,3285,Los Angeles,90220,Compton,-118.2453652,33.8918787,488.07,29.54,50.16,6.18,73.13,110.81,94.9,58.4,82.7
713,6067005002,6284,Sacramento ,95823,Sacramento,-121.4265186,38.484879799999995,1693.74,86.7,46.79,5.76,63.57,109.69,94.59,64.1,88.27
714,6037402405,3006,Los Angeles,91768,Pomona,-117.79294650000001,34.0671411,2604.78,95.69,60.37,7.44,92.16,77.44,83.29,51.6,75.21
