GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6057000300,15.17671518,1307,2.403326403,0.066475794,61875,2.52
6107000301,46.44478064,731,2.066061523,0.05797498,46122,3.35
6099000301,67.66809728,949,1.733905579,2.392547708,33797,3.09
6071000301,70.22680412,1108,1.63257732,3.640952742,35828,3.6
6005000301,16.78200692,1329,2.448096886,0.011961647,66944,2.67
6083000301,79.57580518,1525,1.344069128,10.10148469,52083,2.18
6043000301,26.18878637,800,2.232079489,0.02771816,54613,2.55
6047000301,41.64777022,834,2.115646259,0.205866548,52420,3.95
6107000302,55.05226481,703,1.842044135,0.026571046,29375,4.06
6099000302,36.60933661,834,2.051597052,2.434906624,56500,3.15
6083000302,79.22651934,1443,1.424861878,7.17335602,54444,2.1
6111000302,40.98290598,1147,1.783333333,0.091439825,43132,3.37
6043000302,19.83695652,964,2.348731884,0.008484115,70761,2.39
6111000303,17.58321274,1463,2.390014472,0.153358734,64286,3.45
6071000303,35.19645822,1137,2.158826785,3.489668615,52820,4.3
6099000303,26.30410655,1122,2.180355161,2.84670819,60795,3.27
6005000303,32.22607833,1029,1.910262766,0.059886161,55530,2.39
6047000303,37.67228178,834,2.199081164,0.023338432,60583,3.33
6071000304,31.45057766,1177,2.1521181,1.929934789,59118,3.78
6099000304,40.23224044,948,2.099726776,2.26480043,48697,3.52
6111000304,35.72037511,1391,2.26683717,0.105838982,56134,3.57
6005000304,24.17445483,1070,2.180685358,0.045834858,66537,2.6
6047000304,38.46153846,969,2.200950735,1.30560283,56290,4.15
6009000400,21.63072776,805,2.115229111,0.012946466,32558,2.19
6033000400,45.69256757,858,1.764358108,1.136998174,38171,2.16
6063000400,25.02078138,832,2.088113051,0.002671116,37969,2.23
6019000400,60.15564202,825,1.645914397,1.527949886,26002,4.3
6105000400,33.13953488,765,1.715116279,0.000646736,29318,2.3
6027000400,55.02706883,855,1.559551431,1.008156613,38476,2.22
6023000400,38.97012079,981,1.864589955,0.906660619,42708,2.58
6093000400,29.25925926,883,2.077777778,0.002048693,30833,2.17
6111000400,33.87549075,1116,2.33482894,0.177609519,59239,3.66
6039000400,68.31168831,830,2.072727273,0.002427352,56080,4.01
6073000400,77.09291628,1332,1.286568537,7.471964415,67794,1.67
6043000400,77.88461538,533,1.788461538,0.002064722,60667,2.4
6029000400,69.45754717,715,1.131485849,2.27253824,23000,2.35
6069000400,51.96390658,1179,2.16985138,3.467848014,55660,3.29
6011000400,32.4265506,831,2.204570185,0.003457628,49087,2.53
6067000400,71.35231317,967,1.300711744,9.324874212,55714,1.75
6053000400,71.37254902,1134,1.611764706,3.68083236,41649,3.19
6049000400,23.828125,431,2.068359375,0.001311801,50500,2.35
6103000400,12.22687122,1385,2.225941423,0.030541563,57161,2.59
6083000400,60.17878911,1534,1.457537586,4.845377306,72453,1.86
6057000401,19.10902696,1602,2.027354435,0.557385888,62545,2.33
6107000401,32.15375229,888,2.012202563,0.509577336,44188,3.79
6005000401,35.76609248,939,1.855394379,0.210558906,47949,2.07
6077000401,58.62068966,871,1.665667166,5.162762418,46133,2.77
6047000401,49.37238494,949,2.259414226,0.024701578,42404,3.4
6007000401,56.04938272,1096,1.773662551,1.104330603,54904,2.51
6071000401,22.48858447,1957,2.591324201,1.180121419,80723,3.54
6031000402,33.69330454,1200,2.122030238,0.112940953,71413,3.34
6005000402,16.87594174,1093,2.200904068,0.110028286,64301,2.29
6077000402,88.99196042,628,0.905380334,4.482478035,20241,2.46
6099000402,23.1884058,1311,2.438923395,0.321017706,76299,3.32
6047000402,33.47353663,1037,2.182264283,0.097303431,54407,2.86
6007000402,34.16864206,1257,1.90044023,1.913827601,77058,2.58
6107000402,55.35545024,926,1.955450237,3.27003927,39679,3.58
6057000402,15.42268041,944,2.308453608,0.070022838,60264,2.77
6031000403,44.81419856,899,2.034387133,1.597306259,52792,3.01
6099000403,24.58800264,1085,1.868160844,1.569334113,57774,2.77
6071000403,23.02533532,1150,2.333084948,1.586619684,68500,3.32
6031000404,48.12960236,875,1.934020619,2.761151143,54473,2.83
6099000404,39.02791145,870,1.785851781,2.137889711,54435,2.57
6071000404,57.14285714,1341,1.855873016,2.258979022,53854,2.74
6031000405,63.7608398,805,1.560474669,1.971959239,39529,2.96
6031000500,39.3858478,830,1.812416555,0.19289009,46020,3.4
6103000500,54.85193622,780,1.553986333,1.036032821,30907,2.19
6005000500,28.40028189,1070,2.054263566,0.052960574,60049,2.22
6027000500,32.96296296,809,1.916666667,0.000645115,54423,2.22
6093000500,30.50847458,618,1.833898305,0.001122248,30197,2.02
6023000500,77.62557078,739,1.320205479,2.941320637,28175,2.08
6077000500,74.13793103,782,1.482758621,3.06932376,28807,3.08
6111000500,41.95804196,1163,1.861888112,0.045609249,39815,2.83
6073000500,66.84914842,1185,1.486618005,5.589223049,60152,1.8
6011000500,47.6340694,803,1.895899054,0.022609576,50422,2.83
6067000500,86.49409116,901,1.116488464,8.303494891,53977,1.79
6069000501,20.41543027,1854,2.800593472,2.716775931,95523,3.55
6099000501,23.77796189,1243,2.263048882,0.25775216,79796,3.17
6007000501,46.52061856,958,1.886597938,1.151757337,48929,2.41
6009000501,25.27247956,1190,2.071525886,0.093067847,51888,2.34
6063000501,37.42004264,880,1.853944563,0.011484481,49070,2.31
6033000501,47.11468225,818,1.739225712,0.014562878,26286,2.58
6071000501,31.87645688,1447,2.358391608,2.674140388,71888,3.61
6053000501,92.3151751,917,1.626459144,8.131980454,31577,4.28
6083000501,19.86803519,2485,2.201612903,0.234729337,120938,2.6
6019000501,88.13559322,715,1.014341591,4.600834313,17137,3.06
6107000501,68.85813149,796,1.588235294,2.674487912,29867,3.85
6057000501,53.72968981,1029,1.42282127,1.014184559,40485,2.1
6069000502,42.59471871,1256,2.417336395,2.019051893,77992,3.66
6107000502,37.79443255,1035,2.189507495,0.23326996,48304,4.14
6019000502,81.0703667,688,1.089197225,3.457120413,31153,3.1
6007000502,84.97827436,939,1.542520174,5.69335569,18766,2.65
6039000502,55.81964348,1041,1.939182104,1.075842619,37233,4.1
6063000502,10.37735849,1008,2.048218029,0.004967198,61463,2.07
6033000502,40.59674503,823,1.396925859,0.727617415,33654,1.93
6053000502,41.85803758,987,2.024008351,1.396421878,51894,4.27
6083000502,26.33928571,1886,1.956574675,3.248505523,96786,2.65
6057000502,44.12897016,1198,1.743503369,0.755785114,41386,2.35
6099000503,61.06489185,1103,1.827509706,3.06463841,61845,2.92
6039000503,26.84118674,1138,2.266317627,0.075651582,57269,3.06
6029000503,8.203125,1632,2.413194444,0.900890061,101065,3.19
6071000503,55.90062112,1410,1.910282954,4.557206946,64186,3.18
6009000503,15.14285714,1125,1.778571429,0.060694482,63214,2.18
6047000503,51.69082126,831,2.201288245,0.021380281,44712,2.84
6099000504,28.51445663,1279,2.111665005,2.767072696,77268,3.03
6047000504,55.8589306,772,2.037542662,1.034327009,40630,3.78
6071000504,16.92307692,2000,2.578461538,0.484843191,86190,3.48
6029000504,45.51319648,777,1.625806452,2.102594319,43036,2.76
6009000504,23.28767123,,1.579908676,0.002457348,34958,1.83
6099000505,49.13473424,1163,2.042645241,1.853178833,58295,3.27
6029000505,22.30113636,1567,2.323153409,2.915756307,85476,2.79
6047000505,37.32311321,944,2.41745283,0.150740974,47625,3.88
6099000506,41.23943662,1024,1.747605634,1.844027698,55426,2.5
6039000506,26.09727165,1218,2.452550415,0.161475148,55403,3.96
6029000506,76.25448029,1266,1.491039427,1.383341498,61528,2.31
6039000507,34.6782988,1190,2.574700109,0.069522686,56528,4.17
