,id,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
2310,2346,6065043505,2911,Riverside ,92545,Hemet,-116.9935262,33.7583074,412.38,5.01,43.95,48.8,64.48538755,910,1.236975858,4.916305333,35000,1.99
2311,2347,6065043504,7743,Riverside ,92545,Hemet,-117.0203384,33.7539134,541.95,6.02,48.97,42,17.34362307,1583,1.893988627,0.740366855,55859,3.37
2312,2348,6037119202,4707,Los Angeles,91331,Pacoima,-118.4424803,34.2547197,2245.45,5.32,66.23,56.5,29.63671128,1477,2.370936902,4.413531803,60508,4.16
2313,2349,6019003810,5256,Fresno ,93722,Fresno,-119.8893898,36.7936161,112.66,5.4,76.81,36.1,34.14167198,1399,2.029993618,2.42614046,57471,3.7
2314,2350,6037554201,4108,Los Angeles,90706,Bellflower,-118.1382741,33.8838461,1657.52,5.46,79.03,32.9,46.71717172,1566,2.255050505,4.950438549,76080,3.69
2315,2351,6037482800,4074,Los Angeles,91755,Monterey Park,-118.1149064,34.0369447,2789.62,7.34,22.53,40,34.23423423,1448,1.958708709,1.702890352,64342,3.39
2316,2352,6037117510,4028,Los Angeles,91343,North Hills,-118.4621485,34.233678,991.44,4.73,72.86,70.4,82.77310924,1193,1.473739496,11.65360914,32438,4.03
2317,2353,6037408402,5799,Los Angeles,91745,Hacienda Heights,-118.0024823,34.0145909,2523.62,8.22,46.47,20.7,6.920415225,1885,2.363898501,0.606382575,89531,3.21
2318,2354,6037481202,6608,Los Angeles,91776,San Gabriel,-118.0815165,34.0980685,1059.58,7.54,25.86,38.3,49.24454393,1189,1.912143257,4.62506873,61419,3.22
2319,2355,6065042206,5620,Riverside ,92507,Riverside,-117.3297749,33.9590764,1172.57,6.68,57.54,42.4,69.4600432,1300,1.704103672,3.318950221,53227,2.59
2320,2356,6107000800,7416,Tulare ,93292,Visalia,-119.2108517,36.4202175,146.52,5.77,39.62,72,45.20303436,784,2.005354752,0.059427239,34164,3.21
2321,2357,6071002103,4646,San Bernardino,91730,Rancho Cucamonga,-117.6080465,34.1030228,685.46,5.75,50.04,39.2,75.49071618,1182,1.527851459,8.853090359,45352,2.66
