,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty
6643,6059021916,3529,Orange ,92807,Anaheim,-117.7923658,33.8407667,453.48,4.06,25.92,11.7
6644,6073019803,4465,San Diego,92010,Carlsbad,-117.3081967,33.175329,1746.93,5.41,22.66,12
6645,6073017701,5275,San Diego,92024,Encinitas,-117.3060959,33.0772389,420.45,4.27,18.52,25.8
6647,6013356002,5375,Contra Costa,94553,Martinez,-122.1903986,37.9544588,496.34,2.67,62.97,9.5
6648,6065044520,1704,Riverside ,92276,Thousand Palms,-116.3795881,33.8530222,910.93,4.69,17.38,38.7
6649,6059099235,4619,Orange ,92646,Huntington Beach,-117.9845181,33.6939742,842.34,5.12,19,28.7
6650,6081608502,2637,San Mateo,94403,San Mateo,-122.2825353,37.5317305,1680.71,4.16,24.46,13.5
6651,6001421900,3632,Alameda ,94702,Berkeley,-122.2896443,37.8794799,379.24,5,54.68,18.5
6652,6017031402,5896,El Dorado,95684,Somerset,-120.5343814,38.6035985,104.76,3.08,30.03,36.5
6653,6073008513,2691,San Diego,92111,San Diego,-117.1810994,32.8034143,670.75,3.8,59.97,19.5
6654,6073008348,5259,San Diego,92126,San Diego,-117.1629598,32.9147375,923.22,3.13,30.34,11
6655,6111005907,3635,Ventura ,91361,Westlake Village,-118.8464045,34.1376331,831.86,4.47,16.39,10.4
6656,6059099416,4444,Orange ,92649,Huntington Beach,-118.0458577,33.7188921,545.21,4.54,25.28,16
6657,6033001100,3865,Lake ,95451,Kelseyville,-122.7736029,38.8709539,114.37,3.04,36.86,38.1
6658,6037920018,2277,Los Angeles,91350,Santa Clarita,-118.5295463,34.4558936,529.86,3.03,24.17,14.7
6659,6037463800,3869,Los Angeles,91105,Pasadena,-118.1745514,34.1341118,1995.62,5.96,20.2,6.5
6660,6075032802,4047,San Francisco,94122,San Francisco,-122.4812305,37.7530955,1354.37,2.93,18.03,17.9
6661,6017031404,2407,El Dorado,95667,Placerville,-120.7055174,38.6909824,158.04,2.49,45.72,22.6
6662,6073020304,6061,San Diego,92026,Escondido,-117.1308356,33.1749098,1184.98,5.33,21.37,30.3
