id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
,Los Angeles,Los Angeles,73,73,,,1.324144487,1.324144487,8.754957665,8.754957665,8.754957665,3720.67,3720.67,3720.67,95.56,95.56,95.56,
,Long Beach,Long Beach,91.5,91.5,,,1.14973262,1.14973262,0.704106045,0.704106045,0.704106045,595.7,595.7,595.7,72.09,72.09,72.09,
,San Diego,San Diego,74.5,74.5,,,1.900420757,1.900420757,3.215611351,3.215611351,3.215611351,1703.39,1703.39,1703.39,125.77,125.77,125.77,
,Los Angeles,Los Angeles,76.2,76.2,,,1.910677618,1.910677618,3.928573875,3.928573875,3.928573875,530.13,530.13,530.13,65.14,65.14,65.14,
,Torrance,Torrance,56.7,56.7,,,1.723135965,1.723135965,1.844909534,1.844909534,1.844909534,2511.49,2511.49,2511.49,59.49,59.49,59.49,
,El Monte,El Monte,63.6,63.6,,,2.12055336,2.12055336,3.706079169,3.706079169,3.706079169,971.38,971.38,971.38,56.43,56.43,56.43,
,Sun Valley,Sun Valley,55.4,55.4,,,1.797153025,1.797153025,2.235703858,2.235703858,2.235703858,1625.33,1625.33,1625.33,77.04,77.04,77.04,
,Modesto,Modesto,54.6,54.6,,,2.12184466,2.12184466,0.761324182,0.761324182,0.761324182,650.75,650.75,650.75,83.51,83.51,83.51,
,Los Angeles,Los Angeles,88.1,88.1,,,0.971183801,0.971183801,10.91646464,10.91646464,10.91646464,3279.99,3279.99,3279.99,105.29,105.29,105.29,
,Stockton,Stockton,57.3,57.3,,,1.736787565,1.736787565,2.623939634,2.623939634,2.623939634,1960.84,1960.84,1960.84,149.5,149.5,149.5,
,Los Angeles,Los Angeles,84.8,84.8,,,1.162857143,1.162857143,5.495084282,5.495084282,5.495084282,577.44,577.44,577.44,76.55,76.55,76.55,
,El Monte,El Monte,78.4,78.4,,,1.63377193,1.63377193,2.149755393,2.149755393,2.149755393,2059.86,2059.86,2059.86,67.93,67.93,67.93,
,Modesto,Modesto,61.4,61.4,,,1.57942316,1.57942316,3.289374748,3.289374748,3.289374748,858.77,858.77,858.77,97.48,97.48,97.48,
,Modesto,Modesto,82.2,82.2,,,1.880197322,1.880197322,2.894000247,2.894000247,2.894000247,538.15,538.15,538.15,84.77,84.77,84.77,
,San Bernardino,San Bernardino,84.6,84.6,,,1.352908587,1.352908587,3.984307932,3.984307932,3.984307932,981.21,981.21,981.21,119.54,119.54,119.54,
,Fresno,Fresno,57.2,57.2,,,1.841676368,1.841676368,1.32046708,1.32046708,1.32046708,558.67,558.67,558.67,75.44,75.44,75.44,
,Pomona,Pomona,74.3,74.3,,,1.613756614,1.613756614,5.483939054,5.483939054,5.483939054,810.09,810.09,810.09,77.44,77.44,77.44,
,North Hollywood,North Hollywood,57.4,57.4,,,1.591310751,1.591310751,6.370153255,6.370153255,6.370153255,969.19,969.19,969.19,71.23,71.23,71.23,
,South Gate,South Gate,42.3,42.3,,,1.986869385,1.986869385,4.961222489,4.961222489,4.961222489,1081.69,1081.69,1081.69,46.23,46.23,46.23,
,Los Angeles,Los Angeles,66.4,66.4,,,1.401834862,1.401834862,4.707080351,4.707080351,4.707080351,2355.35,2355.35,2355.35,45.01,45.01,45.01,
,Reedley,Reedley,69.1,69.1,,,1.778084715,1.778084715,0.117849154,0.117849154,0.117849154,207.32,207.32,207.32,92.61,92.61,92.61,
,Bakersfield,Bakersfield,71.6,71.6,,,1.466891134,1.466891134,2.507886985,2.507886985,2.507886985,719.8,719.8,719.8,89.83,89.83,89.83,
,Los Angeles,Los Angeles,54.6,54.6,,,1.789517471,1.789517471,6.094504703,6.094504703,6.094504703,2086.55,2086.55,2086.55,83.36,83.36,83.36,
,North Hollywood,North Hollywood,64.6,64.6,,,1.588505747,1.588505747,5.840219562,5.840219562,5.840219562,1078.75,1078.75,1078.75,61.15,61.15,61.15,
,Stockton,Stockton,80.6,80.6,,,1.484346225,1.484346225,2.283685235,2.283685235,2.283685235,642.67,642.67,642.67,90.94,90.94,90.94,
,Riverside,Riverside,44.9,44.9,,,2.234468938,2.234468938,2.465612954,2.465612954,2.465612954,1725.72,1725.72,1725.72,102.96,102.96,102.96,
,Colton,Colton,54.9,54.9,,,2.287798408,2.287798408,0.286547555,0.286547555,0.286547555,1507.26,1507.26,1507.26,55.09,55.09,55.09,
,Los Angeles,Los Angeles,58.5,58.5,,,1.913714805,1.913714805,3.829723273,3.829723273,3.829723273,1815.31,1815.31,1815.31,81.72,81.72,81.72,
,Huntington Park,Huntington Park,77,77,,,1.533333333,1.533333333,4.616263369,4.616263369,4.616263369,806.73,806.73,806.73,59.17,59.17,59.17,
,Bakersfield,Bakersfield,62.8,62.8,,,2.028210117,2.028210117,0.211270418,0.211270418,0.211270418,537.47,537.47,537.47,89.83,89.83,89.83,
,Moreno Valley,Moreno Valley,74.2,74.2,,,1.893667861,1.893667861,0.939523084,0.939523084,0.939523084,1520.45,1520.45,1520.45,58.11,58.11,58.11,
,Fontana,Fontana,56,56,,,2.418604651,2.418604651,0.334898738,0.334898738,0.334898738,1095.52,1095.52,1095.52,74.22,74.22,74.22,
,Los Angeles,Los Angeles,67.1,67.1,,,1.636150235,1.636150235,6.748507085,6.748507085,6.748507085,979.6,979.6,979.6,68.91,68.91,68.91,
,Fresno,Fresno,77.3,77.3,,,1.426074634,1.426074634,3.809046464,3.809046464,3.809046464,1131.46,1131.46,1131.46,88.39,88.39,88.39,
,Paramount,Paramount,47.9,47.9,,,1.881219904,1.881219904,2.378153101,2.378153101,2.378153101,1626.68,1626.68,1626.68,50.32,50.32,50.32,
,Pomona,Pomona,68.5,68.5,,,2.035218783,2.035218783,2.89224774,2.89224774,2.89224774,481.45,481.45,481.45,70.31,70.31,70.31,
,Fresno,Fresno,42.9,42.9,,,2.223163842,2.223163842,0.100306598,0.100306598,0.100306598,286.07,286.07,286.07,110.07,110.07,110.07,
,Ontario,Ontario,68.1,68.1,,,2.104743083,2.104743083,2.642942895,2.642942895,2.642942895,399.55,399.55,399.55,42.99,42.99,42.99,
,Bell,Bell,61.1,61.1,,,1.709854015,1.709854015,5.136802084,5.136802084,5.136802084,662.27,662.27,662.27,48.15,48.15,48.15,
,Los Angeles,Los Angeles,72.2,72.2,,,0.692269327,0.692269327,14.02004294,14.02004294,14.02004294,614.69,614.69,614.69,67.73,67.73,67.73,
,El Monte,El Monte,61.8,61.8,,,1.28525296,1.28525296,4.749910827,4.749910827,4.749910827,1652.23,1652.23,1652.23,53.71,53.71,53.71,
,Inglewood,Inglewood,51.3,51.3,,,1.747609943,1.747609943,4.63920893,4.63920893,4.63920893,2827.76,2827.76,2827.76,68.69,68.69,68.69,
