id,state,abbr,pollution,poverty,ageMoe,cars,density,traffic,asthma,-0.385218228
,Los Angeles,Los Angeles,6.86,67.2,,1.418118467,3.705593044,2860.99,114.99,
,Modesto,Modesto,8.43,48,,2.336233686,1.256746714,768.49,52.08,
,Stockton,Stockton,8.02,56.2,,2.234866828,0.003385735,183.14,79.43,
,Fresno,Fresno,8.29,50.5,,2.202072539,1.378355397,315.72,73.98,
,Rancho Cucamonga,Rancho Cucamonga,8.37,40.3,,1.559569075,1.011662616,920.88,50.04,
,Los Angeles,Los Angeles,9.21,33.2,,1.804252199,0.72943617,1636.33,56.07,
,Sun Valley,Sun Valley,7.82,63,,1.723671498,4.12315498,1010.75,73.24,
,San Pedro,San Pedro,6.97,64.3,,1.306521739,6.654180238,743.12,84.98,
,North Hollywood,North Hollywood,6.75,64.2,,1.724662162,7.395408861,1224.33,70.64,
,San Bernardino,San Bernardino,6.67,71.2,,1.591925805,4.096535113,876.58,118.49,
,Pacoima,Pacoima,8.11,75.1,,2.026501767,1.960048358,733.44,73.67,
,Los Angeles,Los Angeles,6.72,75,,1.556107249,7.619243923,4289.98,95.56,
,Long Beach,Long Beach,6.75,76.4,,1.126851256,19.58234606,584.65,122.08,
,Carson,Carson,9.44,35.9,,1.831349206,1.189153468,816.41,70.62,
,Los Angeles,Los Angeles,7.1,87.3,,1.370109546,10.29406067,867.02,63.52,
,Gardena,Gardena,8.6,36.6,,1.879547014,6.207870557,829.31,86.69,
,Long Beach,Long Beach,7.86,43.3,,2.066521265,2.593102248,2895.06,79.96,
,Los Angeles,Los Angeles,7.67,84.1,,0.558823529,5.965043157,2860.01,78.84,
,Ontario,Ontario,8.22,46.6,,1.332504146,4.259446487,509.81,55.61,
,Hanford,Hanford,7.1,73.2,,1.637864612,0.754481493,262.39,138.1,
,Wilmington,Wilmington,7.88,56.6,,1.849565217,5.529827863,949.48,70.22,
,Wilmington,Wilmington,7.21,72.5,,1.836549376,5.531485844,1215.43,70.22,
,Ontario,Ontario,7.61,51.3,,2.033402923,5.157968843,756.15,75.97,
,Wilmington,Wilmington,7.21,69.2,,1.5004995,4.572746828,435.19,70.22,
,Modesto,Modesto,7.53,79.8,,1.414438503,2.475799245,780.28,95.48,
,Modesto,Modesto,6.5,64.2,,1.669297553,3.226911368,761.71,97.69,
,San Bernardino,San Bernardino,6.44,88.3,,1.22311828,2.778739215,337.48,142.88,
,Compton,Compton,7.83,52.4,,1.714599341,2.962478478,573.16,96.77,
,Bell,Bell,8.24,60.7,,1.87473904,4.082712121,3225.17,48.15,
,Compton,Compton,8.34,40.7,,2.055276382,2.054973631,1290.68,79.51,
,Stockton,Stockton,8.28,64.3,,1.863941769,1.746815813,1489.38,53.25,
,Los Angeles,Los Angeles,8.98,60.8,,1.335827099,10.02579526,2515.15,42.23,
,Los Angeles,Los Angeles,7.71,68.2,,1.734358974,8.305861296,998.08,63.52,
,Glendale,Glendale,9.18,33.5,,1.67903525,6.63106832,3264.62,29.83,
,Bell,Bell,8.73,71.8,,2.021923621,7.500958635,681.87,42.63,
,Oakland,Oakland,7.07,52.5,,1.826589595,0.248148898,1419.88,147.84,
,Compton,Compton,6.82,69.4,,1.8475,6.78338696,447.04,102.03,
,Bell,Bell,8.19,67.8,,1.884667571,7.457062211,633.32,48.15,
,Long Beach,Long Beach,6.92,56.9,,1.60960961,8.958265184,657.25,81.84,
,Los Angeles,Los Angeles,7.94,73.6,,1.647808765,6.406914842,2802.31,53.11,
,Paramount,Paramount,7.4,58.4,,2.034123223,5.126646105,1855.98,61.93,
,South Gate,South Gate,8.93,57.4,,2.16189536,2.088088915,1685.11,43.82,
,Los Angeles,Los Angeles,6.91,64.8,,1.866125761,8.871403749,1169.64,79.03,
,Compton,Compton,7.51,35.3,,1.978672986,3.896372218,392.43,105.05,
,Fresno,Fresno,7.31,72.9,,1.014341591,4.600834313,1127.73,68.28,
,Turlock,Turlock,7.06,71.2,,1.623368552,2.676903599,1000.28,82.64,
,Baldwin Park,Baldwin Park,7.29,55.6,,2.085024155,4.018199513,1611.54,62.29,
,Compton,Compton,7.48,51.8,,2.005089059,3.688970002,611.28,87.61,
,Los Angeles,Los Angeles,8.88,64.5,,1.360458107,4.472991254,2067.93,49.93,
,Los Angeles,Los Angeles,8.77,39.8,,1.780229479,2.339178047,2074.23,61.04,
,Paramount,Paramount,7.43,57.9,,2.06460945,3.241038088,489.55,61.93,
,Ontario,Ontario,7.55,55.2,,1.712778429,5.378171279,1261.73,56.25,
,Los Angeles,Los Angeles,6.91,55.5,,1.467255335,7.163932322,1117.25,89.2,
,Baldwin Park,Baldwin Park,8.08,59,,2.154929577,4.472885792,2803.8,62.29,
,Modesto,Modesto,7.19,72.9,,1.517538054,2.996201342,1373.55,97.48,
,Los Angeles,Los Angeles,6.63,68.3,,1.629955947,5.080444391,3597.62,85.81,
,Pomona,Pomona,7.91,71.4,,1.64600639,4.220850721,692.46,77.76,
,Los Angeles,Los Angeles,6.58,75.7,,1.590844063,7.57553288,4039.06,95.56,
,Ontario,Ontario,9.81,39,,1.923507463,0.471642317,1589.21,51.6,
,Los Angeles,Los Angeles,6.75,75.6,,1.553459119,8.610839932,836.62,53.1,
,Hawthorne,Hawthorne,7.67,50.8,,1.773739742,6.499386879,2995.35,59.18,
,San Bernardino,San Bernardino,8.34,71.8,,2.006218905,0.691340797,1267.48,60.46,
,South El Monte,South El Monte,7.99,59.9,,1.946261682,7.891975948,1209.56,51.92,
,Norwalk,Norwalk,7.27,55.2,,1.635761589,0.782981394,718.24,54.27,
,Lynwood,Lynwood,7.38,52.8,,2.145171743,3.935021851,2861.79,56.29,
,Fresno,Fresno,7.77,65.1,,1.603642671,1.743592979,627.88,113.06,
,Los Angeles,Los Angeles,7.8,42.5,,1.542260209,4.349377798,1121.98,100.36,
,Los Angeles,Los Angeles,7.15,70,,1.939820743,2.754049685,2609.34,89.12,
,Baldwin Park,Baldwin Park,7.92,52.8,,2.259090909,3.478069239,2982.11,62.29,
,Los Angeles,Los Angeles,6.88,70.3,,1.434089001,10.75088094,1684.33,62.41,
,Los Angeles,Los Angeles,8.02,70.5,,1.588522589,6.394258034,4101.43,60.77,
,Carson,Carson,8.73,32.6,,2.462670873,1.316242844,1988.92,93.65,
,Los Angeles,Los Angeles,6.68,74.8,,1.676258993,9.10307519,877.95,77.55,
,Paramount,Paramount,8.28,56.9,,1.497393118,4.460664926,1022.2,53.74,
,Los Angeles,Los Angeles,7.36,67.6,,1.50877193,5.378574301,2344.96,60.98,
,Selma,Selma,7.26,83.6,,1.635135135,0.210612896,213.11,86,
,Pomona,Pomona,7.7,67.1,,1.378603945,2.976898162,734.94,69.55,
,Oakland,Oakland,6.67,55.8,,1.561514196,5.230274045,2145.76,189.95,
,Riverside,Riverside,8.4,63,,1.713656388,2.746906372,1661.21,107.28,
,Corona,Corona,8.25,67.4,,2.18127786,1.39440249,2942.21,43.29,
,San Pedro,San Pedro,6.85,56.1,,1.225888325,13.08334424,678.7,84.98,
,Fresno,Fresno,6.23,79,,1.422962963,4.175368129,599.92,119.79,
,Los Angeles,Los Angeles,7.93,60.9,,1.807118255,6.17737681,1582.07,53.1,
,Bakersfield,Bakersfield,6.98,74.9,,1.102409639,3.648839303,662.76,107.68,
,Compton,Compton,7.67,61.6,,1.901263823,6.316565207,725.69,102.03,
,Long Beach,Long Beach,7.21,65.5,,1.131782946,7.927059093,467.94,72.09,
